id,url,league_name,team_name,league_country
733,112096,Saudi Abdul L. Jameel League ,Ettifaq FC,Saudi Arabia
734,110233,Russian Premier League ,FC Tom Tomsk,Russia
735,2045,Austrian Football Bundesliga ,FC Wacker Innsbruck,Austria
736,918,Norwegian Eliteserien ,FK Bodø/Glimt,Norway
737,110911,Italian Serie B ,Foggia,Italy
738,111052,Campeonato Brasileiro Série A ,Fortaleza,Brazil
739,110316,French Ligue 2 ,GFC Ajaccio,France
740,101024,Turkish Süper Lig ,Gaziantepspor,Turkey
741,111491,Italian Serie B ,Grosseto,Italy
742,112258,Korean K League Classic ,GwangJu FC,Korea Republic
743,111705,Swedish Allsvenskan ,IF Brommapojkarna,Sweden
744,700,Swedish Allsvenskan ,IF Elfsborg,Sweden
745,1524,Norwegian Eliteserien ,IK Start,Norway
746,110765,Korean K League Classic ,Incheon United FC,Korea Republic
747,112679,Mexican Liga MX ,Jaguares de Chiapas,Mexico
748,112903,Colombian Liga Postobón ,Jaguares de Córdoba,Colombia
749,1478,Korean K League Classic ,Jeju United FC,Korea Republic
750,101145,Japanese J. League Division 1 ,Kashiwa Reysol,Japan
751,112523,Colombian Liga Postobón ,La Equidad,Colombia
752,239,Belgian Jupiler Pro League ,Lierse SK,Belgium
753,621,Scottish Premiership ,Livingston FC,Scotland
754,112505,Polish T-Mobile Ekstraklasa ,Miedź Legnica,Poland
755,112925,Argentina Primera División  ,Nueva Chicago,Argentina
756,1456,Norwegian Eliteserien ,Odds BK,Norway
757,110912,Italian Serie B ,Padova,Italy
758,112527,Colombian Liga Postobón ,Patriotas Boyacá FC,Colombia
759,111802,Italian Serie B ,Ravenna,Italy
760,1828,German 2. Bundesliga ,Rot-Weiß Oberhausen,Germany
761,780,Austrian Football Bundesliga ,SV Ried,Austria
762,110694,German 3. Bundesliga ,SV Werder Bremen II,Germany
763,110149,Mexican Liga MX ,San Luis,Mexico
764,112668,Chilian Campeonato Nacional ,San Luis de Quillota,Chile
765,111713,Argentina Primera División  ,San Martín de San Juan,Argentina
766,111114,International,Saudi Arabia,Saudi Arabia
767,324,Swiss Super League ,Servette FC,Switzerland
768,110714,Spanish Segunda División ,Sevilla Atlético,Spain
769,917,Norwegian Eliteserien ,Stabæk Fotball,Norway
770,922,Norwegian Eliteserien ,Strømsgodset IF,Norway
771,570,Italian Serie B ,Ternana,Italy
772,110526,German 2. Bundesliga ,TuS Koblenz,Germany
773,112552,French Ligue 2 ,US Quevilly Rouen Métropole,France
774,1366,International,Ukraine,Ukraine
775,112715,Colombian Liga Postobón ,Unión Magdalena,Colombia
776,203,Italian Serie B ,Urbs Reggina 1914 ,Italy
777,1719,Campeonato Brasileiro Série A ,Vitória,Brazil
778,665,Portuguese Liga ZON SAGRES ,Vitória de Setúbal,Portugal
779,111968,Rep. Ireland Airtricity League ,Wexford Youths,Republic of Ireland
780,180,Scottish Premiership ,Dundee FC,Scotland
781,147,English League Two ,Hereford,England
782,203,Italian Serie B ,Urbs Reggina 1914 ,Italy
783,112708,Chilian Campeonato Nacional ,AC Barnechea,Chile
784,113058,Saudi Abdul L. Jameel League ,Abha Club,Saudi Arabia
785,112990,Saudi Abdul L. Jameel League ,Al Batin,Saudi Arabia
786,112389,Saudi Abdul L. Jameel League ,Al Faisaly,Saudi Arabia
787,113222,Saudi Abdul L. Jameel League ,Al Hazem,Saudi Arabia
788,112883,Saudi Abdul L. Jameel League ,Al Khaleej,Saudi Arabia
789,112676,Saudi Abdul L. Jameel League ,Al Nahdha Dammam,Saudi Arabia
790,112675,Saudi Abdul L. Jameel League ,Al Orobah,Saudi Arabia
791,112391,Saudi Abdul L. Jameel League ,Al Qadisiyah,Saudi Arabia
792,112392,Saudi Abdul L. Jameel League ,Al Raed,Saudi Arabia
793,112407,Saudi Abdul L. Jameel League ,Al Shoulla,Saudi Arabia
794,112393,Saudi Abdul L. Jameel League ,Al Taawoun,Saudi Arabia
795,112906,Japanese J. League Division 1 ,Albirex Niigata,Japan
796,112579,Colombian Liga Postobón ,Alianza Petrolera,Colombia
797,112992,Colombian Liga Postobón ,Atlético Bucaramanga,Colombia
798,112889,Turkish Süper Lig ,Balıkesirspor,Turkey
799,112549,French Ligue 2 ,CA Bastia,France
800,112476,Campeonato Brasileiro Série A ,Chapecoense,Brazil
801,112713,Argentina Primera División  ,Club Atlético Sarmiento,Argentina
802,112904,Argentina Primera División  ,Club Atlético Temperley,Argentina
803,112709,Chilian Campeonato Nacional ,Club Deportes Temuco,Chile
804,112909,Argentina Primera División  ,Crucero del Norte,Argentina
805,113876,Swedish Allsvenskan ,Dalkurd FF,Sweden
806,113217,Saudi Abdul L. Jameel League ,Damac FC,Saudi Arabia
807,112525,Colombian Liga Postobón ,Deportes Quindío,Colombia
808,112586,Chilian Campeonato Nacional ,Deportivo San Marcos de Arica,Chile
809,112513,Portuguese Liga ZON SAGRES ,FC Arouca,Portugal
810,113720,Danish Superliga ,FC Helsingør,Denmark
811,112261,Russian Premier League ,FC Orenburg,Russia
812,112398,Italian Serie B ,FC Pro Vercelli 1892,Italy
813,113704,Russian Premier League ,FC Tosno,Russia
814,112424,Danish Superliga ,FC Vestsjælland,Denmark
815,112834,Colombian Liga Postobón ,Fortaleza CEIF,Colombia
816,112281,Italian Serie B ,Gubbio,Italy
817,112394,Saudi Abdul L. Jameel League ,Hajer,Saudi Arabia
818,112970,Colombian Liga Postobón ,Itagüí Leones FC,Colombia
819,113459,Norwegian Eliteserien ,Kristiansund BK,Norway
820,112487,Italian Serie B ,Latina,Italy
821,112395,Saudi Abdul L. Jameel League ,Najran SC,Saudi Arabia
822,112282,Italian Serie B ,Nocera Inferiore,Italy
823,113219,Saudi Abdul L. Jameel League ,Ohod Club,Saudi Arabia
824,112345,Japanese J. League Division 1 ,Omiya Ardija,Japan
825,112958,Turkish Süper Lig ,Osmanlıspor,Turkey
826,112578,Colombian Liga Postobón ,Rionegro Águilas,Colombia
827,112508,Polish T-Mobile Ekstraklasa ,Sandecja Nowy Sącz,Poland
828,112374,Norwegian Eliteserien ,Sandnes Ulf,Norway
829,113378,Romanian Liga I ,Sepsi OSK,Romania
830,112558,Korean K League Classic ,Suwon FC,Korea Republic
831,112267,Swedish Allsvenskan ,Syrianska,Sweden
832,112968,Colombian Liga Postobón ,Tigres FC,Colombia
833,113216,Spanish Segunda División ,UCAM Murcia CF,Spain
834,112902,Spanish Segunda División ,UE Llagostera,Spain
835,112830,Colombian Liga Postobón ,Uniautónoma FC,Colombia
836,112517,Portuguese Liga ZON SAGRES ,União da Madeira,Portugal
837,112237,Italian Serie B ,Varese,Italy
838,113162,Japanese J. League Division 1 ,Ventforet Kofu,Japan
839,112954,Italian Serie B ,Vicenza,Italy
840,111989,French Ligue 2 ,AC Arles Avignon,France
841,111340,Turkish Süper Lig ,Akhisar Belediyespor,Turkey
842,111717,Argentina Primera División  ,All Boys,Argentina
843,111704,Campeonato Brasileiro Série A ,América de Natal,Brazil
844,111965,Rep. Ireland Airtricity League ,Athlone Town,Republic of Ireland
845,111812,Czech Republic Gambrinus Liga ,Bohemians 1905,Czech Republic
846,111985,Czech Republic Gambrinus Liga ,Bohemians Praha,Czech Republic
847,112019,Colombian Liga Postobón ,Boyacá Chicó FC,Colombia
848,112232,Turkish Süper Lig ,Bucaspor,Turkey
849,111827,Spanish Segunda División ,CD Guadalajara,Spain
850,111984,Portuguese Liga ZON SAGRES ,CD Trofense,Portugal
851,111666,Mexican Liga MX ,CF Indios,Mexico
852,111769,Chinese Super League ,Changchun Yatai FC,China PR
853,111715,Argentina Primera División  ,Club Atlético Tigre,Argentina
854,111810,Spanish Segunda División ,Club Polideportivo Granada 74,Spain
855,111932,Rep. Ireland Airtricity League ,Cobh Ramblers,Republic of Ireland
856,111988,Turkish Süper Lig ,Eskişehirspor,Turkey
857,111271,French Ligue 2 ,Évian Thonon Gaillard FC,France
858,112236,Czech Republic Gambrinus Liga ,FC Hradec Králové,Czech Republic
859,111264,Russian Premier League ,FC Ural Yekaterinburg,Russia
860,111374,Czech Republic Gambrinus Liga ,FK SIAD Most,Czech Republic
861,112235,Czech Republic Gambrinus Liga ,FK Ústí nad Labem,Czech Republic
862,112169,Swedish Allsvenskan ,Falkenbergs FF,Sweden
863,111594,Swedish Allsvenskan ,GAIS,Sweden
864,112107,Italian Serie B ,Gallipoli,Italy
865,111277,Swedish Allsvenskan ,Gefle IF,Sweden
866,112078,Australian Hyundai A-League ,Gold Coast United,Australia
867,111206,Scottish Premiership ,Gretna,Scotland
868,112077,Campeonato Brasileiro Série A ,Grêmio Barueri,Brazil
869,111929,Campeonato Brasileiro Série A ,Ipatinga,Brazil
870,112130,Swedish Allsvenskan ,Jönköpings Södra IF,Sweden
871,112122,Turkish Süper Lig ,Kardemir Karabükspor,Turkey
872,111654,Mexican Liga MX ,Leones Negros de la UdeG,Mexico
873,111285,Rep. Ireland Airtricity League ,Limerick FC,Republic of Ireland
874,111959,Swedish Allsvenskan ,Ljungskile SK,Sweden
875,111433,Italian Serie B ,Mantova,Italy
876,112072,Swedish Allsvenskan ,Mjällby AIF,Sweden
877,112079,Australian Hyundai A-League ,North Queensland Fury FC,Australia
878,112225,Italian Serie B ,Novara,Italy
879,111429,Polish T-Mobile Ekstraklasa ,Polonia Bytom,Poland
880,112231,Italian Serie B ,Portogruaro Calcio ASD,Italy
881,111292,Campeonato Brasileiro Série A ,Portuguesa de Desportos,Brazil
882,112110,Chilian Campeonato Nacional ,Rangers de Talca,Chile
883,112200,Norwegian Eliteserien ,Ranheim Fotball,Norway
884,111432,Italian Serie B ,Rimini,Italy
885,111540,Portuguese Liga ZON SAGRES ,SC Olhanense,Portugal
886,111373,Austrian Football Bundesliga ,SC Wiener Neustadt,Austria
887,111720,Czech Republic Gambrinus Liga ,SK Kladno,Czech Republic
888,112020,Italian Serie B ,SS Virtus Lanciano,Italy
889,112022,Austrian Football Bundesliga ,SV Grödig,Austria
890,111714,Argentina Primera División  ,San Martin de Tucumán,Argentina
891,111293,Campeonato Brasileiro Série A ,Santo André,Brazil
892,111266,Russian Premier League ,Sibir Novosibirsk,Russia
893,111967,Rep. Ireland Airtricity League ,Sporting Fingal,Republic of Ireland
894,111376,French Ligue 2 ,US Boulogne Cote D'Opale,France
895,111377,French Ligue 2 ,Vannes OC,France
896,112237,Italian Serie B ,Varese,Italy
897,111660,Danish Superliga ,Vendsyssel FF,Denmark
898,112217,Russian Premier League ,Volga Nizhny Novgorod,Russia
899,111089,Polish T-Mobile Ekstraklasa ,Zagłębie Sosnowiec,Poland
900,110306,Belgian Jupiler Pro League ,AFC Tubize,Belgium
901,110230,Russian Premier League ,Alaniya Vladikavkaz,Russia
902,110907,Italian Serie B ,Arezzo,Italy
903,101116,Mexican Liga MX ,Atlante,Mexico
904,110392,Argentina Primera División  ,Atlético de Rafaela,Argentina
905,110464,Czech Republic Gambrinus Liga ,Baník Ostrava,Czech Republic
906,111022,Argentina Primera División  ,Belgrano de Córdoba,Argentina
907,110701,Spanish Segunda División ,Bilbao Athletic,Spain
908,110833,Spanish Segunda División ,CD Alcoyano,Spain
909,110979,Chilian Campeonato Nacional ,CD Cobreloa,Chile
910,110364,Italian Serie B ,Catania,Italy
911,110915,Italian Serie B ,Cesena,Italy
912,110405,Argentina Primera División  ,Chacarita Juniors,Argentina
913,111070,USA Major League Soccer ,Chivas USA,United States
914,110398,Argentina Primera División  ,Club Olimpo,Argentina
915,111050,Campeonato Brasileiro Série A ,Clube Náutico Capibaribe,Brazil
916,111044,Campeonato Brasileiro Série A ,Coritiba,Brazil
917,111046,Campeonato Brasileiro Série B ,Criciúma,Brazil
918,111032,Mexican Liga MX ,Dorados de Sinaloa,Mexico
919,110471,Czech Republic Gambrinus Liga ,Dynamo České Budějovice,Czech Republic
920,110780,Mexican Liga MX ,Estudiantes Tecos,Mexico
921,110239,Russian Premier League ,FC Khimki,Russia
922,110318,French Ligue 2 ,FC Libourne-Saint-Seurin,France
923,110229,Russian Premier League ,FC Moskva,Russia
924,110822,Russian Premier League ,FC Ufa,Russia
925,110596,German 2. Bundesliga ,FSV Frankfurt,Germany
926,111045,Campeonato Brasileiro Série A ,Figueirense,Brazil
